group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Cache Defeated),Linked List,2000000,,,3238839900.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3400039200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3342874700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3266863000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3326353100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3415751900.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3287419800.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3162425200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3192063100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3228410600.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3272880500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3156512100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3497720700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3341272600.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3298901200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3426809500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3262986300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3250909600.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3335536900.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3460463400.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3340785900.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3231846100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3148045100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,4133820300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3335908100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3302711800.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3423399600.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3213174500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3439421300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3189951100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3531814700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3247879600.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3221541200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3249068300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3160542600.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3179002700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3142484600.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3241481700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3263977000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3181121700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3317156800.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3462424200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3230389500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3229917700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3496212900.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3329029100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3511341400.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3495705100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3181933500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3282532800.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3131055300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3177924900.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3438220800.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3351211000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3491331200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3252392500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3441926900.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3273202000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3360370600.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3305117300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3410700300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3602282400.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3473724200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3307752300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3329568300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3426716200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3166013900.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3115213800.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3321041800.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3537060700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3237472200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3187274200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3261203500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3214328800.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3507546000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3365907700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3561187100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3455571600.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3323426400.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3230236000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3199343200.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3152340700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3161424000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3242755300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3450852300.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3432382400.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3464218500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3328427500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3375110100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3730396000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3526731100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3341582000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3593385800.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3580895500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3451021100.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3295035500.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3207892700.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3182695000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3131807000.0,ns,1
Radix Sort (Cache Defeated),Linked List,2000000,,,3285814400.0,ns,1
