group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Cache Defeated),Vec,2000000,,,143533100.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,141216000.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,143624600.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,138669600.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,140551800.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,161098500.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,149574000.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,150052000.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,155131500.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,168108100.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,167203500.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,144369900.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,165715000.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,155658700.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,174083000.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,175248900.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,147182800.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,154701600.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,150536400.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,136763700.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,165089500.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,171485200.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,156524400.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,149601100.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,140696300.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,148480500.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,148849000.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,163647400.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,168415000.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,157867200.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,153185900.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,171428300.0,ns,1
Radix Sort (Cache Defeated),Vec,2000000,,,141136300.0,ns,1
