group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Cache Defeated),Vec,4000000,,,285711200.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,291519300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,282652400.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,283830600.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,286562900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,274138100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,281410900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,290643200.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,295737900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,280302300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,289576600.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,287883400.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,304469000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,293501700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,296396400.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,274691700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,284885400.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,272564000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,296362700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,288904000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,294530100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,302314600.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,293978400.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,277365200.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,296626100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,274784200.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,267995700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,268182700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,271692000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,280009100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,296462900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,290512100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,272930100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,270644100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,270653600.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,277050300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,270726400.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,270978900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,274777600.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,275271900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,271851300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,271277600.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,275450900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,271214000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,275168300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,271243200.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,270799500.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,270245100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,264843000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,302986300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,292617300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,272596100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,291509900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,287627300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,293444000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,290477000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,289918100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,293524300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,291342300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,287213700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,288451500.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,288765500.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,288817400.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,265909200.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,277994600.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,272589000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,276565900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,298754500.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,295523500.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,270482000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,267827200.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,270027700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,283248800.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,275346300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,282618800.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,285723800.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,289285500.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,298528500.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,274718900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,269811100.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,270621300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,265464300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,285043000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,286253300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,290013900.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,285974500.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,322759400.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,291757300.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,269660500.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,277470700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,272804600.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,277240700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,286672700.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,286476200.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,294044400.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,276319000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,295150600.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,279645000.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,271059200.0,ns,1
Radix Sort (Cache Defeated),Vec,4000000,,,272594400.0,ns,1
