group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,1000,,,1601600.0,ns,2
Radix Sort (Normal),Linked List,1000,,,4067000.0,ns,4
Radix Sort (Normal),Linked List,1000,,,4646800.0,ns,6
Radix Sort (Normal),Linked List,1000,,,6276200.0,ns,8
Radix Sort (Normal),Linked List,1000,,,9341000.0,ns,10
Radix Sort (Normal),Linked List,1000,,,9856300.0,ns,12
Radix Sort (Normal),Linked List,1000,,,11609000.0,ns,14
Radix Sort (Normal),Linked List,1000,,,12687400.0,ns,16
Radix Sort (Normal),Linked List,1000,,,14204200.0,ns,18
Radix Sort (Normal),Linked List,1000,,,16173800.0,ns,20
Radix Sort (Normal),Linked List,1000,,,18424200.0,ns,22
Radix Sort (Normal),Linked List,1000,,,20064800.0,ns,24
Radix Sort (Normal),Linked List,1000,,,22807600.0,ns,26
Radix Sort (Normal),Linked List,1000,,,23152200.0,ns,28
Radix Sort (Normal),Linked List,1000,,,24604300.0,ns,30
Radix Sort (Normal),Linked List,1000,,,25220800.0,ns,32
Radix Sort (Normal),Linked List,1000,,,26750100.0,ns,34
Radix Sort (Normal),Linked List,1000,,,28428000.0,ns,36
Radix Sort (Normal),Linked List,1000,,,30108600.0,ns,38
Radix Sort (Normal),Linked List,1000,,,31915100.0,ns,40
Radix Sort (Normal),Linked List,1000,,,33295700.0,ns,42
Radix Sort (Normal),Linked List,1000,,,34555300.0,ns,44
Radix Sort (Normal),Linked List,1000,,,38794800.0,ns,46
Radix Sort (Normal),Linked List,1000,,,39037900.0,ns,48
Radix Sort (Normal),Linked List,1000,,,41197600.0,ns,50
Radix Sort (Normal),Linked List,1000,,,42774300.0,ns,52
Radix Sort (Normal),Linked List,1000,,,43897300.0,ns,54
Radix Sort (Normal),Linked List,1000,,,46118200.0,ns,56
Radix Sort (Normal),Linked List,1000,,,47221900.0,ns,58
Radix Sort (Normal),Linked List,1000,,,49395300.0,ns,60
Radix Sort (Normal),Linked List,1000,,,51240400.0,ns,62
Radix Sort (Normal),Linked List,1000,,,52976600.0,ns,64
Radix Sort (Normal),Linked List,1000,,,53944600.0,ns,66
Radix Sort (Normal),Linked List,1000,,,57444700.0,ns,68
Radix Sort (Normal),Linked List,1000,,,56172400.0,ns,70
Radix Sort (Normal),Linked List,1000,,,58435300.0,ns,72
Radix Sort (Normal),Linked List,1000,,,60484600.0,ns,74
Radix Sort (Normal),Linked List,1000,,,63267700.0,ns,76
Radix Sort (Normal),Linked List,1000,,,63318400.0,ns,78
Radix Sort (Normal),Linked List,1000,,,63917500.0,ns,80
Radix Sort (Normal),Linked List,1000,,,79731400.0,ns,82
Radix Sort (Normal),Linked List,1000,,,87162200.0,ns,84
Radix Sort (Normal),Linked List,1000,,,77385900.0,ns,86
Radix Sort (Normal),Linked List,1000,,,72455300.0,ns,88
Radix Sort (Normal),Linked List,1000,,,73124800.0,ns,90
Radix Sort (Normal),Linked List,1000,,,75792000.0,ns,92
Radix Sort (Normal),Linked List,1000,,,76397100.0,ns,94
Radix Sort (Normal),Linked List,1000,,,79769600.0,ns,96
Radix Sort (Normal),Linked List,1000,,,83799400.0,ns,98
Radix Sort (Normal),Linked List,1000,,,81297700.0,ns,100
Radix Sort (Normal),Linked List,1000,,,81895400.0,ns,102
Radix Sort (Normal),Linked List,1000,,,83011900.0,ns,104
Radix Sort (Normal),Linked List,1000,,,86238400.0,ns,106
Radix Sort (Normal),Linked List,1000,,,88232000.0,ns,108
Radix Sort (Normal),Linked List,1000,,,89739600.0,ns,110
Radix Sort (Normal),Linked List,1000,,,91754100.0,ns,112
Radix Sort (Normal),Linked List,1000,,,89537400.0,ns,114
Radix Sort (Normal),Linked List,1000,,,91837300.0,ns,116
Radix Sort (Normal),Linked List,1000,,,99622100.0,ns,118
Radix Sort (Normal),Linked List,1000,,,98670200.0,ns,120
Radix Sort (Normal),Linked List,1000,,,97816000.0,ns,122
Radix Sort (Normal),Linked List,1000,,,100498100.0,ns,124
Radix Sort (Normal),Linked List,1000,,,102505200.0,ns,126
Radix Sort (Normal),Linked List,1000,,,103677900.0,ns,128
Radix Sort (Normal),Linked List,1000,,,111685000.0,ns,130
Radix Sort (Normal),Linked List,1000,,,105931400.0,ns,132
Radix Sort (Normal),Linked List,1000,,,106851300.0,ns,134
Radix Sort (Normal),Linked List,1000,,,108667900.0,ns,136
Radix Sort (Normal),Linked List,1000,,,109356800.0,ns,138
Radix Sort (Normal),Linked List,1000,,,114137900.0,ns,140
Radix Sort (Normal),Linked List,1000,,,113887000.0,ns,142
Radix Sort (Normal),Linked List,1000,,,113823600.0,ns,144
Radix Sort (Normal),Linked List,1000,,,117314500.0,ns,146
Radix Sort (Normal),Linked List,1000,,,125525600.0,ns,148
Radix Sort (Normal),Linked List,1000,,,123431900.0,ns,150
Radix Sort (Normal),Linked List,1000,,,125246000.0,ns,152
Radix Sort (Normal),Linked List,1000,,,123298800.0,ns,154
Radix Sort (Normal),Linked List,1000,,,124793800.0,ns,156
Radix Sort (Normal),Linked List,1000,,,125671500.0,ns,158
Radix Sort (Normal),Linked List,1000,,,130798500.0,ns,160
Radix Sort (Normal),Linked List,1000,,,131233600.0,ns,162
