group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Linked List,800000,,,1947129300.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2020145100.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2103632600.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2089804000.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2141722600.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2095726500.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2067377200.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2118894700.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2135009300.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2050695000.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2060634300.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1976431300.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1938681200.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2069203200.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2773292800.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2182259400.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2169597900.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2099771700.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2126557800.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2664760800.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2727602600.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1940435100.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1922751500.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1940341500.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1971115600.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1914696900.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2291660600.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2693545100.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2020230700.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2066515000.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1949916300.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1954141200.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1941984000.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1944531400.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2079957900.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2718666600.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1959594900.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1928644400.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1957276900.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1942133200.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1914331500.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1949273200.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1948030600.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1926525900.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1940712800.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1925348400.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2014794700.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2675683900.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2154121400.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2594130600.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1922270200.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2040284100.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2050367700.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2592966500.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1948846800.0,ns,1
Radix Sort (Normal),Linked List,800000,,,1914487100.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2000934200.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2082291900.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2214185700.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2252751100.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2069824200.0,ns,1
Radix Sort (Normal),Linked List,800000,,,2033181300.0,ns,1
