group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Vec,200000,,,49874300.0,ns,6
Radix Sort (Normal),Vec,200000,,,53024100.0,ns,6
Radix Sort (Normal),Vec,200000,,,49413800.0,ns,6
Radix Sort (Normal),Vec,200000,,,48226300.0,ns,6
Radix Sort (Normal),Vec,200000,,,49335800.0,ns,6
Radix Sort (Normal),Vec,200000,,,49776400.0,ns,6
Radix Sort (Normal),Vec,200000,,,51708200.0,ns,6
Radix Sort (Normal),Vec,200000,,,50538100.0,ns,6
Radix Sort (Normal),Vec,200000,,,51657000.0,ns,6
Radix Sort (Normal),Vec,200000,,,49722200.0,ns,6
Radix Sort (Normal),Vec,200000,,,50830000.0,ns,6
Radix Sort (Normal),Vec,200000,,,50940400.0,ns,6
Radix Sort (Normal),Vec,200000,,,51269600.0,ns,6
Radix Sort (Normal),Vec,200000,,,48364800.0,ns,6
Radix Sort (Normal),Vec,200000,,,50202200.0,ns,6
Radix Sort (Normal),Vec,200000,,,49910100.0,ns,6
Radix Sort (Normal),Vec,200000,,,66191000.0,ns,6
Radix Sort (Normal),Vec,200000,,,65981700.0,ns,6
Radix Sort (Normal),Vec,200000,,,59681800.0,ns,6
Radix Sort (Normal),Vec,200000,,,55859800.0,ns,6
Radix Sort (Normal),Vec,200000,,,50749300.0,ns,6
Radix Sort (Normal),Vec,200000,,,53940000.0,ns,6
Radix Sort (Normal),Vec,200000,,,51294800.0,ns,6
Radix Sort (Normal),Vec,200000,,,48815300.0,ns,6
Radix Sort (Normal),Vec,200000,,,47649900.0,ns,6
Radix Sort (Normal),Vec,200000,,,49445200.0,ns,6
Radix Sort (Normal),Vec,200000,,,51195700.0,ns,6
Radix Sort (Normal),Vec,200000,,,49893100.0,ns,6
Radix Sort (Normal),Vec,200000,,,50972100.0,ns,6
Radix Sort (Normal),Vec,200000,,,52068900.0,ns,6
Radix Sort (Normal),Vec,200000,,,54120300.0,ns,6
Radix Sort (Normal),Vec,200000,,,50950900.0,ns,6
Radix Sort (Normal),Vec,200000,,,49501200.0,ns,6
Radix Sort (Normal),Vec,200000,,,50081600.0,ns,6
Radix Sort (Normal),Vec,200000,,,49926700.0,ns,6
Radix Sort (Normal),Vec,200000,,,50783700.0,ns,6
Radix Sort (Normal),Vec,200000,,,53978200.0,ns,6
Radix Sort (Normal),Vec,200000,,,51608400.0,ns,6
Radix Sort (Normal),Vec,200000,,,51025000.0,ns,6
Radix Sort (Normal),Vec,200000,,,53899900.0,ns,6
Radix Sort (Normal),Vec,200000,,,49878600.0,ns,6
Radix Sort (Normal),Vec,200000,,,50162900.0,ns,6
Radix Sort (Normal),Vec,200000,,,49606700.0,ns,6
Radix Sort (Normal),Vec,200000,,,49418500.0,ns,6
Radix Sort (Normal),Vec,200000,,,48792900.0,ns,6
Radix Sort (Normal),Vec,200000,,,47358800.0,ns,6
Radix Sort (Normal),Vec,200000,,,50928600.0,ns,6
Radix Sort (Normal),Vec,200000,,,49978400.0,ns,6
Radix Sort (Normal),Vec,200000,,,50925500.0,ns,6
Radix Sort (Normal),Vec,200000,,,54174900.0,ns,6
Radix Sort (Normal),Vec,200000,,,53014000.0,ns,6
Radix Sort (Normal),Vec,200000,,,49524800.0,ns,6
Radix Sort (Normal),Vec,200000,,,51611900.0,ns,6
Radix Sort (Normal),Vec,200000,,,50745700.0,ns,6
Radix Sort (Normal),Vec,200000,,,51209900.0,ns,6
Radix Sort (Normal),Vec,200000,,,52246200.0,ns,6
Radix Sort (Normal),Vec,200000,,,52109800.0,ns,6
Radix Sort (Normal),Vec,200000,,,47522100.0,ns,6
Radix Sort (Normal),Vec,200000,,,47727100.0,ns,6
Radix Sort (Normal),Vec,200000,,,51474600.0,ns,6
Radix Sort (Normal),Vec,200000,,,50660800.0,ns,6
Radix Sort (Normal),Vec,200000,,,49832800.0,ns,6
Radix Sort (Normal),Vec,200000,,,49235300.0,ns,6
Radix Sort (Normal),Vec,200000,,,49190600.0,ns,6
Radix Sort (Normal),Vec,200000,,,48047400.0,ns,6
Radix Sort (Normal),Vec,200000,,,47208200.0,ns,6
Radix Sort (Normal),Vec,200000,,,49029000.0,ns,6
Radix Sort (Normal),Vec,200000,,,47427500.0,ns,6
Radix Sort (Normal),Vec,200000,,,49595700.0,ns,6
Radix Sort (Normal),Vec,200000,,,51870100.0,ns,6
Radix Sort (Normal),Vec,200000,,,49823200.0,ns,6
Radix Sort (Normal),Vec,200000,,,47560700.0,ns,6
Radix Sort (Normal),Vec,200000,,,44062500.0,ns,6
Radix Sort (Normal),Vec,200000,,,49194400.0,ns,6
Radix Sort (Normal),Vec,200000,,,48245200.0,ns,6
Radix Sort (Normal),Vec,200000,,,48390100.0,ns,6
Radix Sort (Normal),Vec,200000,,,52707700.0,ns,6
Radix Sort (Normal),Vec,200000,,,49465200.0,ns,6
Radix Sort (Normal),Vec,200000,,,48637500.0,ns,6
Radix Sort (Normal),Vec,200000,,,49707400.0,ns,6
Radix Sort (Normal),Vec,200000,,,54032100.0,ns,6
Radix Sort (Normal),Vec,200000,,,51408800.0,ns,6
Radix Sort (Normal),Vec,200000,,,50815000.0,ns,6
Radix Sort (Normal),Vec,200000,,,51238700.0,ns,6
Radix Sort (Normal),Vec,200000,,,51641100.0,ns,6
Radix Sort (Normal),Vec,200000,,,50432700.0,ns,6
Radix Sort (Normal),Vec,200000,,,51786800.0,ns,6
Radix Sort (Normal),Vec,200000,,,49623500.0,ns,6
Radix Sort (Normal),Vec,200000,,,47344500.0,ns,6
Radix Sort (Normal),Vec,200000,,,49084100.0,ns,6
Radix Sort (Normal),Vec,200000,,,51218800.0,ns,6
Radix Sort (Normal),Vec,200000,,,51455000.0,ns,6
Radix Sort (Normal),Vec,200000,,,51066400.0,ns,6
Radix Sort (Normal),Vec,200000,,,52239400.0,ns,6
Radix Sort (Normal),Vec,200000,,,50754400.0,ns,6
Radix Sort (Normal),Vec,200000,,,50058500.0,ns,6
Radix Sort (Normal),Vec,200000,,,54109000.0,ns,6
Radix Sort (Normal),Vec,200000,,,52244300.0,ns,6
Radix Sort (Normal),Vec,200000,,,49519600.0,ns,6
Radix Sort (Normal),Vec,200000,,,47563800.0,ns,6
