group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Radix Sort (Normal),Vec,600000,,,76453300.0,ns,2
Radix Sort (Normal),Vec,600000,,,74314300.0,ns,2
Radix Sort (Normal),Vec,600000,,,65925400.0,ns,2
Radix Sort (Normal),Vec,600000,,,70991900.0,ns,2
Radix Sort (Normal),Vec,600000,,,67984000.0,ns,2
Radix Sort (Normal),Vec,600000,,,73065100.0,ns,2
Radix Sort (Normal),Vec,600000,,,72324900.0,ns,2
Radix Sort (Normal),Vec,600000,,,72689200.0,ns,2
Radix Sort (Normal),Vec,600000,,,79419000.0,ns,2
Radix Sort (Normal),Vec,600000,,,88668900.0,ns,2
Radix Sort (Normal),Vec,600000,,,83378900.0,ns,2
Radix Sort (Normal),Vec,600000,,,81422600.0,ns,2
Radix Sort (Normal),Vec,600000,,,80134400.0,ns,2
Radix Sort (Normal),Vec,600000,,,74930800.0,ns,2
Radix Sort (Normal),Vec,600000,,,73776100.0,ns,2
Radix Sort (Normal),Vec,600000,,,78098400.0,ns,2
Radix Sort (Normal),Vec,600000,,,71054900.0,ns,2
Radix Sort (Normal),Vec,600000,,,74221400.0,ns,2
Radix Sort (Normal),Vec,600000,,,66757900.0,ns,2
Radix Sort (Normal),Vec,600000,,,72988200.0,ns,2
Radix Sort (Normal),Vec,600000,,,77734800.0,ns,2
Radix Sort (Normal),Vec,600000,,,76992700.0,ns,2
Radix Sort (Normal),Vec,600000,,,77069100.0,ns,2
Radix Sort (Normal),Vec,600000,,,78595700.0,ns,2
Radix Sort (Normal),Vec,600000,,,73147500.0,ns,2
Radix Sort (Normal),Vec,600000,,,80304500.0,ns,2
Radix Sort (Normal),Vec,600000,,,75471900.0,ns,2
Radix Sort (Normal),Vec,600000,,,77058400.0,ns,2
Radix Sort (Normal),Vec,600000,,,71740100.0,ns,2
Radix Sort (Normal),Vec,600000,,,73681600.0,ns,2
Radix Sort (Normal),Vec,600000,,,71242600.0,ns,2
Radix Sort (Normal),Vec,600000,,,80019000.0,ns,2
Radix Sort (Normal),Vec,600000,,,72220000.0,ns,2
Radix Sort (Normal),Vec,600000,,,78655200.0,ns,2
Radix Sort (Normal),Vec,600000,,,77839900.0,ns,2
Radix Sort (Normal),Vec,600000,,,72967000.0,ns,2
Radix Sort (Normal),Vec,600000,,,70143000.0,ns,2
Radix Sort (Normal),Vec,600000,,,70604300.0,ns,2
Radix Sort (Normal),Vec,600000,,,86917200.0,ns,2
Radix Sort (Normal),Vec,600000,,,81856100.0,ns,2
Radix Sort (Normal),Vec,600000,,,76062300.0,ns,2
Radix Sort (Normal),Vec,600000,,,71867000.0,ns,2
Radix Sort (Normal),Vec,600000,,,70217200.0,ns,2
Radix Sort (Normal),Vec,600000,,,71392700.0,ns,2
Radix Sort (Normal),Vec,600000,,,70666100.0,ns,2
Radix Sort (Normal),Vec,600000,,,71376600.0,ns,2
Radix Sort (Normal),Vec,600000,,,66939500.0,ns,2
Radix Sort (Normal),Vec,600000,,,73659200.0,ns,2
Radix Sort (Normal),Vec,600000,,,76670300.0,ns,2
Radix Sort (Normal),Vec,600000,,,79349600.0,ns,2
Radix Sort (Normal),Vec,600000,,,76853800.0,ns,2
Radix Sort (Normal),Vec,600000,,,76307400.0,ns,2
Radix Sort (Normal),Vec,600000,,,84621700.0,ns,2
Radix Sort (Normal),Vec,600000,,,83858100.0,ns,2
Radix Sort (Normal),Vec,600000,,,83985700.0,ns,2
Radix Sort (Normal),Vec,600000,,,75554100.0,ns,2
Radix Sort (Normal),Vec,600000,,,78442300.0,ns,2
Radix Sort (Normal),Vec,600000,,,76895800.0,ns,2
Radix Sort (Normal),Vec,600000,,,73461600.0,ns,2
Radix Sort (Normal),Vec,600000,,,66291100.0,ns,2
Radix Sort (Normal),Vec,600000,,,69239500.0,ns,2
Radix Sort (Normal),Vec,600000,,,71872300.0,ns,2
Radix Sort (Normal),Vec,600000,,,69258300.0,ns,2
Radix Sort (Normal),Vec,600000,,,66516100.0,ns,2
Radix Sort (Normal),Vec,600000,,,67300000.0,ns,2
Radix Sort (Normal),Vec,600000,,,90880100.0,ns,2
Radix Sort (Normal),Vec,600000,,,73950500.0,ns,2
Radix Sort (Normal),Vec,600000,,,64921600.0,ns,2
Radix Sort (Normal),Vec,600000,,,64437200.0,ns,2
Radix Sort (Normal),Vec,600000,,,69715400.0,ns,2
Radix Sort (Normal),Vec,600000,,,64149800.0,ns,2
Radix Sort (Normal),Vec,600000,,,64614300.0,ns,2
Radix Sort (Normal),Vec,600000,,,68993800.0,ns,2
Radix Sort (Normal),Vec,600000,,,72146300.0,ns,2
Radix Sort (Normal),Vec,600000,,,67182900.0,ns,2
Radix Sort (Normal),Vec,600000,,,63799900.0,ns,2
Radix Sort (Normal),Vec,600000,,,65871000.0,ns,2
Radix Sort (Normal),Vec,600000,,,76260400.0,ns,2
Radix Sort (Normal),Vec,600000,,,69923100.0,ns,2
Radix Sort (Normal),Vec,600000,,,74882000.0,ns,2
Radix Sort (Normal),Vec,600000,,,72736300.0,ns,2
Radix Sort (Normal),Vec,600000,,,85337900.0,ns,2
Radix Sort (Normal),Vec,600000,,,78409100.0,ns,2
Radix Sort (Normal),Vec,600000,,,70330000.0,ns,2
Radix Sort (Normal),Vec,600000,,,66404500.0,ns,2
Radix Sort (Normal),Vec,600000,,,72955800.0,ns,2
Radix Sort (Normal),Vec,600000,,,67059200.0,ns,2
Radix Sort (Normal),Vec,600000,,,67947100.0,ns,2
Radix Sort (Normal),Vec,600000,,,64841400.0,ns,2
Radix Sort (Normal),Vec,600000,,,72004100.0,ns,2
Radix Sort (Normal),Vec,600000,,,65607400.0,ns,2
Radix Sort (Normal),Vec,600000,,,70014000.0,ns,2
Radix Sort (Normal),Vec,600000,,,69362600.0,ns,2
Radix Sort (Normal),Vec,600000,,,72406300.0,ns,2
Radix Sort (Normal),Vec,600000,,,64974500.0,ns,2
Radix Sort (Normal),Vec,600000,,,64312600.0,ns,2
Radix Sort (Normal),Vec,600000,,,65155400.0,ns,2
Radix Sort (Normal),Vec,600000,,,70674800.0,ns,2
Radix Sort (Normal),Vec,600000,,,74374600.0,ns,2
Radix Sort (Normal),Vec,600000,,,66280300.0,ns,2
